Test,Fires Extinguished,Earthquakes Resolved,Attacks Controlled,Agents Evacuated,Average Evacuation Time,Problems Solved,Average Responder Time
1,0,0,0,0,0,0,4,4,0,6.579078197479248,0
2,2,2,0,1,1,1,4,4,3,40.57881832122803,4.172854979832967
3,0,0,0,0,0,1,4,4,0,26.18528151512146,0
4,3,4,2,2,1,2,4,4,6,40.33817672729492,5.58729875087738
5,0,0,1,1,0,0,4,4,1,13.23484206199646,2.0742416381835938e-05
6,0,1,1,1,0,0,4,4,2,13.757137060165405,4.768761038780212
7,2,2,0,1,0,0,4,4,2,37.66848134994507,5.008717894554138
8,0,1,1,1,2,2,4,4,3,29.579378128051758,10.517245372136435
9,0,0,0,1,0,0,4,4,0,15.438155889511108,0
10,1,1,1,1,1,1,4,4,3,11.620628118515015,1.8509093920389812
11,7,11,0,0,2,2,4,4,9,71.0976676940918,7.405544810824924
12,2,4,1,2,0,1,4,4,4,41.67655086517334,9.771414160728455
13,2,3,0,0,1,2,4,4,3,25.93238115310669,6.180644114812215
14,3,3,1,2,2,2,4,4,6,46.060059785842896,6.241914550463359
15,2,4,0,0,2,3,4,4,5,35.907538175582886,6.617741060256958
16,1,1,2,2,1,2,4,4,4,52.10455250740051,10.405549585819244
17,0,0,0,0,0,0,4,4,0,21.746920824050903,0
18,2,2,0,0,2,2,4,4,4,27.200886487960815,4.012254536151886
19,1,1,0,1,0,0,4,4,1,26.19336700439453,8.524083137512207
20,1,2,1,1,1,1,4,4,3,19.755892753601074,3.0151387055714927
21,1,2,1,2,0,0,4,4,2,24.62555432319641,6.789106965065002
22,2,3,1,1,2,2,4,4,5,24.328773260116577,5.017546892166138
23,0,0,0,2,0,0,4,4,0,22.26144289970398,0
24,1,2,0,1,4,6,4,4,5,64.99142527580261,8.765223836898803
25,2,2,1,2,0,0,4,4,3,36.10167932510376,8.836594740549723
26,1,1,1,2,1,2,4,4,3,44.54839611053467,7.204769293467204
27,0,0,1,2,3,3,4,4,4,45.386587381362915,4.193929672241211
28,3,3,0,2,1,2,4,4,4,93.57684063911438,4.479800045490265
29,1,1,1,2,0,0,4,4,3,14.096562385559082,0.9852423667907715
30,4,5,4,6,2,2,4,4,10,57.02108979225159,8.727539873123169
31,0,0,0,1,2,3,4,4,3,24.038927793502808,6.18505597114563
32,1,1,0,0,0,0,4,4,2,13.24901556968689,1.4672178030014038
33,2,2,1,1,1,1,4,4,4,37.36460494995117,6.088480532169342
34,3,3,2,2,1,1,4,4,6,33.21720910072327,4.657097538312276
35,0,0,1,1,2,2,4,4,3,30.000870943069458,2.5271780490875244
36,2,4,2,2,1,1,4,4,5,30.268626928329468,4.054974794387817
37,0,0,1,1,2,3,4,4,4,44.004815101623535,13.314947128295898
38,1,1,3,4,3,4,4,4,7,70.61601781845093,9.946512937545776
39,3,4,1,1,1,1,4,4,6,39.28273797035217,6.045842965443929
40,0,0,0,0,0,1,4,4,0,27.970319986343384,0
41,0,0,1,1,0,0,4,4,1,33.35779881477356,7.0642523765563965
42,1,2,0,1,2,2,4,4,3,51.435696840286255,7.9278379281361895
43,1,1,3,6,0,0,4,4,4,50.93993020057678,12.01448667049408
44,1,2,2,3,0,0,4,4,5,37.84999394416809,5.665736389160156
45,1,1,0,0,1,2,4,4,2,33.30624866485596,6.59230899810791
46,6,8,3,5,2,3,4,4,11,84.01462078094482,11.629780530929565
47,5,8,2,3,0,0,4,4,7,52.16309833526611,6.3514867169516425
48,0,0,0,0,0,0,4,4,0,19.15606999397278,0
49,0,0,0,0,0,0,4,4,0,30.13761591911316,0
50,1,3,0,1,0,2,4,4,1,35.29668951034546,10.315454959869385

Summary,72/101,43/72,47/65,200/200,36.14530110359192,172,5.418569976163289
